PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,COUNTRY,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
0,A.C. Green,1985,USA,75.8,5.78,6.06,0.86,-1.88,0.093,0.1864,0.1274,0.4868,0.054
1,A.J. Bramlett,1999,USA,8,1,2.8,0,-32.6,0.158,0.208,0.146,0.19,0
2,A.J. Guyton,2000,USA,26.66666667,3.8,0.7,1.566666667,-6.7,0.013333333,0.04,0.224,0.324,0.282
3,AJ Hammons,2016,USA,22,2.2,1.6,0.2,-0.6,0.049,0.199,0.167,0.472,0.038
4,AJ Price,2009,USA,43.5,5.35,1.333333333,2,-2.233333333,0.017666667,0.090833333,0.210666667,0.4765,0.248833333
5,Aaron Brooks,2007,USA,64.5,8.88,1.55,2.76,-3.31,0.0227,0.0697,0.2222,0.521,0.2307
6,Aaron Gordon,2014,USA,66,12.8125,6.225,2.45,-0.3875,0.0575,0.16725,0.197625,0.540125,0.1225
7,Aaron Gray,2007,USA,45.42857143,3.242857143,3.728571429,0.657142857,-4.728571429,0.131285714,0.232857143,0.150428571,0.527142857,0.087714286
8,Aaron Harrison,Undrafted,USA,11.66666667,2.6,1.333333333,0.633333333,-10.16666667,0.020666667,0.141333333,0.142333333,0.288333333,0.16
9,Aaron Henry,Undrafted,USA,6,0.3,0.2,0,-56,0,0.048,0.149,0.2,0
10,Aaron Holiday,2018,USA,61.25,7.225,1.725,2.35,1.9,0.014,0.07925,0.18975,0.5215,0.1825
11,Aaron Jackson,Undrafted,USA,1,8,3,1,-19.8,0.056,0.031,0.149,0.405,0.053
12,Aaron McKie,1994,USA,60.63636364,6.272727273,3,2.490909091,0.672727273,0.025,0.135454545,0.138272727,0.495454545,0.181090909
13,Aaron Miles,Undrafted,USA,19,0.8,0.7,1.3,-3.9,0,0.154,0.113,0.405,0.308
14,Aaron Nesmith,2020,USA,49,4.25,2.25,0.45,1.25,0.033,0.1315,0.1485,0.54,0.052
15,Aaron Wiggins,2021,USA,50,8.3,3.6,1.4,-8.1,0.04,0.098,0.149,0.556,0.083
16,Aaron Williams,Undrafted,USA,57.83333333,5.241666667,3.641666667,0.608333333,-5.05,0.095666667,0.17375,0.1585,0.552083333,0.063
17,Abdel Nader,2016,Egypt,40.4,4.48,1.94,0.56,-3.98,0.0206,0.1282,0.1592,0.5176,0.0666
18,Acie Earl,1993,USA,47,4,2,0.4,-6.4,0.079,0.14,0.224,0.435,0.077
19,Acie Law,2007,USA,47,3.9,1,1.55,-1.8,0.01575,0.078,0.177,0.508,0.20675
20,Adam Harrington,Undrafted,USA,19,1.6,0.4,0.6,-15.7,0.01,0.088,0.167,0.387,0.179
21,Adam Keefe,1992,USA,63,4.06,3.5,0.64,1.62,0.1068,0.1692,0.1328,0.5246,0.0694
22,Adam Mokoka,Undrafted,France,12.5,2,0.65,0.4,5,0.037,0.053,0.1405,0.462,0.111
23,Adam Morrison,2006,USA,53.66666667,6.066666667,1.8,1.166666667,-7.833333333,0.034,0.101,0.193333333,0.438666667,0.114333333
24,Ade Murkey,Undrafted,USA,1,0,0,0,-33.3,0,0,0,0,0
25,Admiral Schofield,2019,United Kingdom,35.5,3.4,1.85,0.6,-10.3,0.025,0.126,0.1305,0.52,0.0705
26,Adonal Foyle,1997,St. Vincent & Grenadines,61.08333333,3.783333333,4.475,0.441666667,-4.4,0.110333333,0.189083333,0.12525,0.495916667,0.041666667
27,Adonis Jordan,1993,USA,4,1.5,0,0.8,-36.4,0,0,0.185,0.521,0.273
28,Adonis Thomas,Undrafted,USA,6,2.3,0.5,0.5,10.8,0,0.091,0.184,0.485,0.115
29,Adreian Payne,2014,USA,26.75,4.225,2.7,0.475,-9.825,0.05875,0.208,0.18375,0.55025,0.06225
30,Adrian Caldwell,Undrafted,USA,23,1.1,1.85,0.15,6.15,0.054,0.104,0.0525,0.2215,0.015
31,Adrian Griffin,Undrafted,USA,53,3.577777778,2.877777778,1.244444444,2.277777778,0.069777778,0.151444444,0.128888889,0.451777778,0.126666667
32,Ahmad Caver,2019,USA,1,2,0,0,133.3,0,0,0.5,1,0
33,Al Harrington,1998,USA,61.3125,12.2,5.13125,1.525,-1.45,0.06425,0.168125,0.229375,0.506125,0.09825
34,Al Horford,2007,Dominican Republic,63.33333333,13.78,8.026666667,3.253333333,3.753333333,0.069666667,0.202866667,0.193,0.568466667,0.162066667
35,Al Jefferson,2004,USA,65.35714286,15.20714286,8.157142857,1.428571429,-3.342857143,0.088714286,0.246571429,0.2515,0.53,0.093142857
36,Al Thornton,2007,USA,74,11.9,4.15,1.2,-8.025,0.05425,0.12475,0.211,0.515,0.074
37,Al-Farouq Aminu,2010,USA,64.63636364,7.090909091,5.881818182,1.236363636,-0.209090909,0.060909091,0.195,0.149272727,0.501090909,0.075727273
38,Alan Anderson,Undrafted,USA,41.25,6.8,2,1.1,-1.925,0.02575,0.098875,0.176625,0.520375,0.09675
39,Alan Henderson,1995,USA,52.09090909,7.318181818,4.690909091,0.563636364,-5.290909091,0.123454545,0.161727273,0.173818182,0.531272727,0.048272727
40,Alan Williams,Undrafted,USA,16.75,4.475,4.55,0.8,6.675,0.11875,0.33625,0.20325,0.52325,0.129
41,Alando Tucker,2007,USA,17,3.9,1,0.233333333,-5.666666667,0.074666667,0.053,0.236333333,0.494666667,0.047
42,Alec Burks,2011,USA,56.81818182,10.72727273,3.536363636,1.981818182,-2.390909091,0.028363636,0.137272727,0.213454545,0.530818182,0.133818182
43,Alec Peters,2017,USA,20,4.1,1.9,0.6,7.3,0.032,0.12,0.151,0.523,0.073
44,Aleem Ford,Undrafted,USA,5,2.8,3,0.4,-22.1,0.028,0.16,0.148,0.35,0.043
45,Alekesej Pokusevski,2020,Serbia,61,7.6,5.2,2.1,-2.5,0.054,0.189,0.195,0.485,0.161
46,Aleksandar Djordjevic,Undrafted,USA,8,3.1,0.6,0.6,4.8,0.021,0.07,0.179,0.687,0.135
47,Aleksandar Radojevic,1999,USA,7.5,1.95,2.5,0.4,-16.95,0.0735,0.207,0.1825,0.3845,0.0735
48,Aleksej Pokusevski,2020,Serbia,45,8.2,4.7,2.2,-16.7,0.025,0.155,0.197,0.43,0.133
49,Alen Smailagic,2019,Serbia,14.5,3.05,1.5,0.6,-10.3,0.071,0.1105,0.17,0.541,0.1055
50,Alex Abrines,2013,Spain,58,5.333333333,1.433333333,0.533333333,0.166666667,0.015666667,0.073333333,0.134333333,0.544666667,0.046
51,Alex Acker,2005,USA,15,2.35,1,0.65,-21.3,0.039,0.115,0.2155,0.3645,0.1405
52,Alex Caruso,Undrafted,USA,45,6.42,2.58,2.76,4.66,0.0258,0.093,0.1444,0.5376,0.1824
53,Alex Garcia,Undrafted,USA,5,3.5,0.95,1.15,-2.35,0.028,0.0385,0.2405,0.2995,0.114
54,Alex Kirk,Undrafted,USA,5,0.8,0.2,0.2,-61.8,0.091,0,0.17,0.41,0.125
55,Alex Len,2013,Ukraine,63.33333333,7.277777778,5.577777778,0.844444444,-5.777777778,0.097777778,0.205222222,0.170555556,0.561444444,0.068
56,Alex Poythress,Undrafted,USA,17.33333333,5.6,3.033333333,0.566666667,-10.86666667,0.073,0.13,0.139333333,0.539666667,0.054333333
57,Alex Scales,Undrafted,USA,1,0,0,0,0,0,0,0,0,0
58,Alex Stepheson,Undrafted,USA,8,2.8,3.5,0.3,-3.8,0.202,0.122,0.17,0.341,0.053
59,Alexander Johnson,2006,USA,51,4.3,2.65,0.3,-7.1,0.0805,0.184,0.171,0.571,0.039
60,Alexey Shved,Undrafted,Russia,60.66666667,7.633333333,2,2.433333333,-4.8,0.029333333,0.098,0.225666667,0.489,0.223333333
61,Alexis Ajinca,2008,France,41.85714286,4.557142857,3.228571429,0.371428571,-0.185714286,0.084,0.203428571,0.201714286,0.520428571,0.046
62,Alfonzo McKinnie,Undrafted,USA,36.4,3.48,2,0.28,-6.2,0.0586,0.1218,0.1496,0.5532,0.034
63,Alize Johnson,2018,USA,18,2.475,2.975,0.425,-1.95,0.114,0.23875,0.141,0.48575,0.07075
64,Allan Houston,1993,USA,66.88888889,17.91111111,2.877777778,2.411111111,0.644444444,0.013555556,0.080666667,0.246333333,0.539888889,0.126444444
65,Allan Ray,Undrafted,USA,47,6.2,1.5,0.9,-3.2,0.028,0.096,0.202,0.512,0.105
66,Allen Crabbe,2013,USA,54.42857143,7.7,2.485714286,1.028571429,-2.742857143,0.012,0.104142857,0.150571429,0.531571429,0.074142857
67,Allen Iverson,1996,USA,65.28571429,26.06428571,3.692857143,6,0.6,0.022214286,0.080571429,0.311,0.517,0.274642857
68,Allonzo Trier,2018,USA,24,6.5,1.2,1.2,-11.1,0.018,0.078,0.208,0.62,0.164
69,Allonzo Trier,Undrafted,USA,64,10.9,3.1,1.9,-7.2,0.02,0.107,0.207,0.564,0.131
70,Alonzo Gee,Undrafted,USA,52.125,6,2.9875,0.925,-5.2875,0.053375,0.124875,0.15075,0.50575,0.075625
71,Alonzo Mourning,1992,USA,50.27272727,13.47272727,7.054545455,0.881818182,4.409090909,0.103272727,0.195,0.240363636,0.571454545,0.058818182
72,Alperen Sengun,2021,Turkey,72,9.6,5.5,2.6,-10.2,0.089,0.174,0.214,0.552,0.193
73,Alton Ford,2001,USA,24.33333333,1.8,1.233333333,0.166666667,-8.3,0.057,0.216666667,0.183333333,0.487333333,0.085333333
74,Alton Lister,1981,USA,30,1.25,2.4,0.15,-10.95,0.095,0.2345,0.1025,0.4275,0.039
75,Alvin Jones,2001,USA,23,1.1,1.6,0.1,-3.8,0.13,0.235,0.144,0.451,0.036
76,Alvin Sims,Undrafted,USA,4,2.8,1,1.3,-30,0.143,0.045,0.272,0.451,0.333
77,Alvin Williams,1997,USA,51.11111111,6.877777778,2.211111111,3.144444444,-8.933333333,0.026555556,0.098,0.182777778,0.418111111,0.231333333
78,Amal McCaskill,1996,USA,28.5,1.6,1.725,0.325,-9.825,0.08675,0.182,0.1705,0.38425,0.09275
79,Amar'e Stoudemire,2002,USA,60.42857143,17.50714286,7.392857143,1.15,1.564285714,0.094214286,0.195071429,0.256,0.582928571,0.0645
80,Amida Brimah,Undrafted,USA,5,2.6,1.6,0.2,32.8,0.077,0.15,0.176,0.697,0.042
81,Amile Jefferson,2017,USA,18,0.8,1.3,0.2,8.5,0.112,0.163,0.129,0.372,0.078
82,Amile Jefferson,Undrafted,USA,12,2.3,1.8,0.3,8.8,0.082,0.25,0.125,0.692,0.052
83,Amir Coffey,Undrafted,USA,43.66666667,5.133333333,1.6,1.033333333,-0.866666667,0.021666667,0.083,0.157666667,0.558666667,0.113666667
84,Amir Johnson,2005,USA,62.14285714,6.757142857,4.971428571,1.142857143,1.164285714,0.110857143,0.169642857,0.149071429,0.618142857,0.088857143
85,Anderson Varejao,2004,Brazil,45.14285714,7.064285714,7.135714286,1.221428571,-1.328571429,0.120857143,0.243142857,0.152857143,0.518928571,0.090357143
86,Andrae Patterson,1998,USA,20,2.25,1.15,0.3,-5.7,0.0785,0.1135,0.1525,0.6275,0.0785
87,Andray Blatche,2005,USA,62.66666667,9.366666667,5.1,1.311111111,-5.466666667,0.095222222,0.195222222,0.228888889,0.494555556,0.108222222
88,Andre Barrett,Undrafted,USA,16.75,2.625,0.875,1.875,-8.95,0.025,0.09025,0.16,0.4635,0.3645
89,Andre Brown,Undrafted,USA,25,2.133333333,2.566666667,0.2,-7.533333333,0.172,0.182333333,0.165333333,0.444333333,0.032333333
90,Andre Dawkins,Undrafted,USA,4,0.8,0.5,0.3,-18.3,0,0.071,0.153,0.25,0.077
91,Andre Drummond,2012,USA,71.8,13.78,13.1,1.44,-1.71,0.1524,0.318,0.2156,0.5454,0.0795
92,Andre Emmett,2004,USA,7,1.55,0.65,0.1,-8.95,0.037,0.085,0.1605,0.5225,0.018
93,Andre Iguodala,2004,USA,67.94444444,10.62222222,4.777777778,4.1,4.866666667,0.0325,0.134611111,0.155611111,0.550222222,0.194055556
94,Andre Ingram,Undrafted,USA,3,6,1.75,1.75,11.85,0.0375,0.0625,0.16,0.3275,0.0745
95,Andre Miller,1999,USA,76.70588235,12.04705882,3.576470588,6.347058824,1.441176471,0.039882353,0.099411765,0.201117647,0.535823529,0.337411765
96,Andre Owens,Undrafted,USA,27,3.5,1.2,0.9,-5.2,0.046,0.0775,0.183,0.4625,0.1295
97,Andre Roberson,2013,USA,43.85714286,3.685714286,3.785714286,0.814285714,1.985714286,0.072285714,0.144857143,0.104571429,0.455285714,0.063
